uo_cod;uo_sigla;fonte_cod;fonte_desc;analise_dcmefo
1011;ALMG;60;RECURSOS DIRETAMENTE ARRECADADOS;
1021;TCEMG;60;RECURSOS DIRETAMENTE ARRECADADOS;
1031;TJMG;60;RECURSOS DIRETAMENTE ARRECADADOS;
1051;TJMMG;60;RECURSOS DIRETAMENTE ARRECADADOS;
1071;GABINETE MILITAR;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;
1071;GABINETE MILITAR;57;TRANSFERENCIAS DA UNIAO POR MEIO DE PORTARIA - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1081;AGE;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;
1081;AGE;57;TRANSFERENCIAS DA UNIAO POR MEIO DE PORTARIA - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1091;PGJ;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
1091;PGJ;60;RECURSOS DIRETAMENTE ARRECADADOS;
1091;PGJ;70;CONVENIOS COM OS MUNICIPIOS;
1191;SEF;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;
1191;SEF;74;ACORDOS E AJUSTES DE COOPERACAO MUTUA COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;
1221;SEDE;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
1221;SEDE;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1221;SEDE;60;RECURSOS DIRETAMENTE ARRECADADOS;
1221;SEDE;98;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;
1231;SEAPA;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
1231;SEAPA;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1231;SEAPA;59;OUTROS RECURSOS VINCULADOS;
1231;SEAPA;98;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;
1251;PMMG;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
1251;PMMG;2;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS DE BANCADA;
1251;PMMG;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;
1251;PMMG;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1251;PMMG;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;
1251;PMMG;60;RECURSOS DIRETAMENTE ARRECADADOS;
1251;PMMG;68;CONVENIOS COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;
1251;PMMG;69;CONVENIOS COM OS ESTADOS E O DISTRITO FEDERAL;
1251;PMMG;70;CONVENIOS COM OS MUNICIPIOS;
1251;PMMG;73;ACORDOS, AJUSTES E DEMAIS INSTRUMENTOS DE COOPERACAO MUTUA COM A UNIAO E SUAS ENTIDADES;
1251;PMMG;98;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;
1261;SEE;3;TRANSFERENCIAS DO FNDE VINCULADAS A EDUCACAO - EMENDAS INDIVIDUAIS;
1261;SEE;13;FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA - FUNDEB - REGULARIZACAO DE EXERCICIOS ANTE;
1261;SEE;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;
1261;SEE;23;FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA - FUNDEB;
1261;SEE;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1261;SEE;36;TRANSFERENCIAS DO FNDE VINCULADAS A EDUCACAO - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1261;SEE;60;RECURSOS DIRETAMENTE ARRECADADOS;
1261;SEE;70;CONVENIOS COM OS MUNICIPIOS;
1261;SEE;90;TRANSFERENCIAS DO FUNDEB - COMPLEMENTACAO DA UNIAO - VAAR;
1261;SEE;98;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;
1271;SECULT;16;DEMAIS TRANSFERENCIAS VINCULADAS DA UNIAO;
1271;SECULT;17;TRANSFERENCIAS DESTINADAS AO SETOR CULTURAL - LC 195/2022 - ART 5O - AUDIOVISUAL;
1271;SECULT;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1271;SECULT;57;TRANSFERENCIAS DA UNIAO POR MEIO DE PORTARIA - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1271;SECULT;59;OUTROS RECURSOS VINCULADOS;
1271;SECULT;69;CONVENIOS COM OS ESTADOS E O DISTRITO FEDERAL;
1301;SEINFRA;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1301;SEINFRA;57;TRANSFERENCIAS DA UNIAO POR MEIO DE PORTARIA - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1301;SEINFRA;59;OUTROS RECURSOS VINCULADOS;
1301;SEINFRA;70;CONVENIOS COM OS MUNICIPIOS;
1301;SEINFRA;73;ACORDOS, AJUSTES E DEMAIS INSTRUMENTOS DE COOPERACAO MUTUA COM A UNIAO E SUAS ENTIDADES;
1301;SEINFRA;74;ACORDOS E AJUSTES DE COOPERACAO MUTUA COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;
1371;SEMAD;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
1371;SEMAD;2;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS DE BANCADA;
1371;SEMAD;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;
1371;SEMAD;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1371;SEMAD;59;OUTROS RECURSOS VINCULADOS;
1371;SEMAD;79;CONTRIBUICAO PATRONAL PARA O FUNPREV;
1401;CBMMG;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
1401;CBMMG;2;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS DE BANCADA;
1401;CBMMG;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;
