Ano de Exercício;Unidade Orçamentária - Código;Unidade Orçamentária - Sigla;Classificação Receita - Formatado;Classificação Receita - Descrição;Fonte Recurso - Código;Fonte Recurso - Descrição;Valor Previsto Inicial;Valor Efetivado Ajustado
2024;1011;ALMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;55.138.747,53
2024;1011;ALMG;1361.01.1.1.01.000;CESSAO DIR. OPERAC. PAG. - PODERES EXECUTIVO LEGISLATIVO - PRINC. - FOLHA DE PESSOAL;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;642.802,38
2024;1011;ALMG;1922.99.0.1.99.000;OUTRAS RESTITUICOES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;892.271,32
2024;1011;ALMG;1999.99.2.1.99.000;OUTRAS REC. - PRIMARIAS - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;5.164.905,08
2024;1021;TCEMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;34.491.488,76
2024;1021;TCEMG;1922.06.3.1.99.000;RESTITUICAO DESPESAS PRIMARIAS EXERCICIOS ANTERIORES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;180.498,89
2024;1021;TCEMG;1922.99.0.1.99.000;OUTRAS RESTITUICOES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;139.638,01
2024;1031;TJMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;125.129.143,35
2024;1031;TJMG;1922.99.0.1.99.000;OUTRAS RESTITUICOES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;436.539,44
2024;1031;TJMG;1922.99.0.3.99.000;OUTRAS RESTITUICOES - DA - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;4.104,53
2024;1031;TJMG;1922.99.0.4.99.000;OUTRAS RESTITUICOES - DA-MJM - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;636,99
2024;1031;TJMG;1999.99.2.1.99.000;OUTRAS REC. - PRIMARIAS - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;8.075,28
2024;1051;TJMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;2.101.336,23
2024;1051;TJMMG;1361.01.1.1.01.000;CESSAO DIR. OPERAC. PAG. - PODERES EXECUTIVO LEGISLATIVO - PRINC. - FOLHA DE PESSOAL;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;160.548,63
2024;1051;TJMMG;1611.01.0.1.13.000;SERVICOS ADM. COMERC. GER. - PRINC. - FOTOCOPIAS E COPIAS HELIOGRAFICAS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;57,49
2024;1051;TJMMG;1611.01.0.1.99.001;SERVICOS ADM. COMERC. GER. - PRINC. - DEMAIS - SERVICOS ADMINISTRATIVOS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;1.307,13
2024;1051;TJMMG;1611.03.0.1.04.000;SERVICOS REG. CERTIF. FISCALIZ. - PRINC. - EXPEDICAO DE CERTIFICADOS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;12,67
2024;1051;TJMMG;1921.01.0.1.99.000;INDENIZACOES DANOS CAUSADOS PATRIMONIO PUBLICO - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;339.861,53
2024;1051;TJMMG;1922.99.0.1.99.000;OUTRAS RESTITUICOES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;6.206,20
2024;1071;GABINETE MILITAR;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;0,00;470,32
2024;1071;GABINETE MILITAR;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;57;TRANSFERENCIAS DA UNIAO POR MEIO DE PORTARIA - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;238.000,15
2024;1071;GABINETE MILITAR;1719.55.0.1.01.000;SEGURANCA PUBLICA - MINISTERIO DO DESENVOLVIMENTO REGIONAL;57;TRANSFERENCIAS DA UNIAO POR MEIO DE PORTARIA - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;5.769.132,80
2024;1081;AGE;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;0,00;46.625,00
2024;1081;AGE;1741.99.0.1.33.999;ACOES ESSENCIAIS JUSTICA - OUTROS;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;0,00;2.602.983,20
2024;1081;AGE;2419.99.0.1.06.001;ACOES ESSENCIAIS JUSTICA - TRIBUNAL REGIONAL DO TRABALHO DA 3 REGIAO - TRT3;57;TRANSFERENCIAS DA UNIAO POR MEIO DE PORTARIA - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;152.009,07
2024;1081;AGE;2441.99.0.1.33.999;ACOES ESSENCIAIS JUSTICA - OUTROS;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;0,00;3.863.740,89
2024;1091;PGJ;1311.01.1.1.01.000;ALUGUEIS ARRENDAMENTOS - PRINC. - ALUGUEIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;0,00
2024;1091;PGJ;1311.01.1.1.02.000;ALUGUEIS ARRENDAMENTOS - PRINC. - ARRENDAMENTOS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;11.180,00
2024;1091;PGJ;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;0,00;426.204,02
2024;1091;PGJ;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;43.301.497,33
2024;1091;PGJ;1611.02.0.1.01.000;INSCRICAO CONCURSOS PROCESSOS SELETIVOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;1.283.501,01
2024;1091;PGJ;1741.99.0.1.33.999;ACOES ESSENCIAIS JUSTICA - OUTROS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;5.680.419,60
2024;1091;PGJ;1911.09.0.1.99.000;MULTAS JUROS PREVISTOS CONTRATOS - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;17.534,01
2024;1091;PGJ;1922.99.0.1.99.000;OUTRAS RESTITUICOES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;155.328,27
2024;1191;SEF;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;0,00;1.392.512,81
2024;1191;SEF;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;74;ACORDOS E AJUSTES DE COOPERACAO MUTUA COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;0,00;2.620.507,53
2024;1191;SEF;1741.99.0.1.34.999;ADM. ATIV. FISCAL - OUTROS;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;0,00;17.116.696,11
2024;1191;SEF;2441.99.0.1.07.001;ADM. ATIV. FISCAL - EMPRESAS DO SETOR SUCROENERGETICO;74;ACORDOS E AJUSTES DE COOPERACAO MUTUA COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;0,00;20.658.699,71
2024;1221;SEDE;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;0,00;25.227,56
2024;1221;SEDE;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;4.046.551,28
2024;1221;SEDE;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;98;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;0,00;5.203,36
2024;1221;SEDE;1611.01.0.1.19.000;SERVICOS ADM. COMERC. GER. - PRINC. - REGULARIZACAO FUNDIARIA;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;1.266,75
2024;1221;SEDE;1719.57.0.1.01.000;TRANSF. ESPECIAL UNIAO - PRINC. - EMENDAS PARLAMENTARES INDIVIDUAIS;98;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;0,00;110.000,00
2024;1231;SEAPA;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;1.177.575,27
2024;1231;SEAPA;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;98;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;0,00;32.594,78
2024;1231;SEAPA;1349.01.0.1.03.000;COMPENSACOES AMBIENTAIS - PRINC. - SUPRESSAO DO PEQUI;59;OUTROS RECURSOS VINCULADOS;0,00;9.993.583,63
2024;1231;SEAPA;1719.57.0.1.01.000;TRANSF. ESPECIAL UNIAO - PRINC. - EMENDAS PARLAMENTARES INDIVIDUAIS;98;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;0,00;610.730,00
2024;1231;SEAPA;1922.99.0.1.99.000;OUTRAS RESTITUICOES - PRINC. - DEMAIS;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;28.493,47
2024;1251;PMMG;1311.01.2.1.01.000;FOROS LAUDEMIOS TARIFAS OCUPACAO - PRINC. - TARIFA DE OCUPACAO DE IMOVEIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;228.743,41
2024;1251;PMMG;1311.02.0.1.01.000;CONC. PERM. AUTOR. CESSAO DIR. USO BENS IMOV. PUB. - PRINC. - CONCESSAO DE DIREITO REAL DE USO DE AREA PUBLICA;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;1.593.317,77
2024;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;0,00;61.824,68
2024;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;2;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS DE BANCADA;0,00;1.083.260,58
2024;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;0,00;223.203,54
2024;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;846.060,59
2024;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;0,00;17.738,18
2024;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;68;CONVENIOS COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;0,00;25.128,64
2024;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;69;CONVENIOS COM OS ESTADOS E O DISTRITO FEDERAL;0,00;343.265,91
2024;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;70;CONVENIOS COM OS MUNICIPIOS;0,00;1.414.315,54
2024;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;73;ACORDOS, AJUSTES E DEMAIS INSTRUMENTOS DE COOPERACAO MUTUA COM A UNIAO E SUAS ENTIDADES;0,00;2.785.547,61
2024;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;98;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;0,00;193.067,65
2024;1251;PMMG;1611.01.0.1.99.001;SERVICOS ADM. COMERC. GER. - PRINC. - DEMAIS - SERVICOS ADMINISTRATIVOS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;53.600,21
2024;1251;PMMG;1611.02.0.1.01.000;INSCRICAO CONCURSOS PROCESSOS SELETIVOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;7.852.865,00
