Ano de Exercício;Unidade Orçamentária - Código;Unidade Orçamentária - Sigla;Classificação Receita - Formatado;Classificação Receita - Descrição;Fonte Recurso - Código;Fonte Recurso - Descrição;Valor Previsto Inicial;Valor Efetivado Ajustado
2023;1011;ALMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;45.379.156,62
2023;1011;ALMG;1361.01.1.1.01.000;CESSAO DIR. OPERAC. PAG. - PODERES EXECUTIVO LEGISLATIVO - PRINC. - FOLHA DE PESSOAL;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;737.729,67
2023;1011;ALMG;1911.09.0.1.99.000;MULTAS JUROS PREVISTOS CONTRATOS - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;48,26
2023;1011;ALMG;1922.99.0.1.99.000;OUTRAS RESTITUICOES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;771.408,38
2023;1011;ALMG;1999.99.2.1.99.000;OUTRAS REC. - PRIMARIAS - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;531.034,43
2023;1021;TCEMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;30.397.709,63
2023;1021;TCEMG;1922.06.3.1.99.000;RESTITUICAO DESPESAS PRIMARIAS EXERCICIOS ANTERIORES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;488.879,11
2023;1031;TJMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;133.469.228,75
2023;1031;TJMG;1922.99.0.1.99.000;OUTRAS RESTITUICOES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;507.769,76
2023;1031;TJMG;1999.99.2.1.99.000;OUTRAS REC. - PRIMARIAS - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;9.991,95
2023;1051;TJMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;2.934.554,53
2023;1051;TJMMG;1361.01.1.1.01.000;CESSAO DIR. OPERAC. PAG. - PODERES EXECUTIVO LEGISLATIVO - PRINC. - FOLHA DE PESSOAL;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;143.001,00
2023;1051;TJMMG;1611.01.0.1.99.001;SERVICOS ADM. COMERC. GER. - PRINC. - DEMAIS - SERVICOS ADMINISTRATIVOS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;1.524,25
2023;1051;TJMMG;1611.03.0.1.04.000;SERVICOS REG. CERTIF. FISCALIZ. - PRINC. - EXPEDICAO DE CERTIFICADOS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;24,18
2023;1051;TJMMG;1922.99.0.1.99.000;OUTRAS RESTITUICOES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;4.819,40
2023;1071;GABINETE MILITAR;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;0,00;10.781,53
2023;1071;GABINETE MILITAR;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;57;TRANSFERENCIAS DA UNIAO POR MEIO DE PORTARIA - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;1.040.781,82
2023;1071;GABINETE MILITAR;1719.55.0.1.01.000;SEGURANCA PUBLICA - MINISTERIO DO DESENVOLVIMENTO REGIONAL;57;TRANSFERENCIAS DA UNIAO POR MEIO DE PORTARIA - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;3.227.102,92
2023;1081;AGE;1741.99.0.1.34.999;ADM. ATIV. FISCAL - OUTROS;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;0,00;580.000,00
2023;1081;AGE;2441.99.0.1.34.999;ADM. ATIV. FISCAL - OUTROS;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;0,00;420.000,00
2023;1091;PGJ;1311.01.1.1.01.000;ALUGUEIS ARRENDAMENTOS - PRINC. - ALUGUEIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;26.431,04
2023;1091;PGJ;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;0,00;418.369,57
2023;1091;PGJ;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;28.445.568,56
2023;1091;PGJ;1611.02.0.1.01.000;INSCRICAO CONCURSOS PROCESSOS SELETIVOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;1.541.093,00
2023;1091;PGJ;1911.09.0.1.99.000;MULTAS JUROS PREVISTOS CONTRATOS - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;90.481,83
2023;1091;PGJ;1922.99.0.1.99.000;OUTRAS RESTITUICOES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;221.944,40
2023;1091;PGJ;2213.01.0.1.01.000;ALIENACAO BENS MOVEIS SEMOVENTES - PRINC.;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;0,00;1.559.320,00
2023;1191;SEF;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;74;ACORDOS E AJUSTES DE COOPERACAO MUTUA COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;0,00;2.411.909,39
2023;1191;SEF;2441.99.0.1.07.001;ADM. ATIV. FISCAL - EMPRESAS DO SETOR SUCROENERGETICO;74;ACORDOS E AJUSTES DE COOPERACAO MUTUA COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;0,00;20.299.502,50
2023;1221;SEDE;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;0,00;57.683,94
2023;1221;SEDE;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;4.876.504,29
2023;1221;SEDE;1611.01.0.1.19.000;SERVICOS ADM. COMERC. GER. - PRINC. - REGULARIZACAO FUNDIARIA;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;7.500,00
2023;1231;SEAPA;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;0,00;0,00
2023;1231;SEAPA;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;1.991.111,09
2023;1231;SEAPA;1349.01.0.1.03.000;COMPENSACOES AMBIENTAIS - PRINC. - SUPRESSAO DO PEQUI;59;OUTROS RECURSOS VINCULADOS;0,00;2.614.583,95
2023;1231;SEAPA;1717.99.0.1.05.005;AGROPECUARIA - MINISTERIO DO DESENVOLVIMENTO REGIONAL;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;582.549,72
2023;1251;PMMG;1311.01.2.1.01.000;FOROS LAUDEMIOS TARIFAS OCUPACAO - PRINC. - TARIFA DE OCUPACAO DE IMOVEIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;220.942,88
2023;1251;PMMG;1311.02.0.1.01.000;CONC. PERM. AUTOR. CESSAO DIR. USO BENS IMOV. PUB. - PRINC. - CONCESSAO DE DIREITO REAL DE USO DE AREA PUBLICA;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;1.067.716,40
2023;1251;PMMG;1311.02.1.1.01.000;CONC. PERM. AUTOR. CESSAO DIR. USO BENS IMOV. PUB. - PRINC. - CONCESSAO DE DIREITO REAL DE USO DE AREA PUBLICA;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;0,00
2023;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;0,00;294.516,38
2023;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;2;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS DE BANCADA;0,00;1.918.399,12
2023;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;0,00;3.271,84
2023;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;296.894,98
2023;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;0,00;53.080,15
2023;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;68;CONVENIOS COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;0,00;18.662,79
2023;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;69;CONVENIOS COM OS ESTADOS E O DISTRITO FEDERAL;0,00;235.534,07
2023;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;70;CONVENIOS COM OS MUNICIPIOS;0,00;1.491.401,31
2023;1251;PMMG;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;73;  ACORDOS, AJUSTES E DEMAIS INSTRUMENTOS DE COOPERACAO MUTUA COM A UNIAO E SUAS ENTIDADES;0,00;4.041.424,88
2023;1251;PMMG;1611.01.0.1.24.000;SERVICOS ADM. COMERC. GER. - PRINC. - EDUCACIONAIS E CAPACITACAO;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;565,80
2023;1251;PMMG;1611.01.0.1.99.001;SERVICOS ADM. COMERC. GER. - PRINC. - DEMAIS - SERVICOS ADMINISTRATIVOS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;91.080,28
2023;1251;PMMG;1611.02.0.1.01.000;INSCRICAO CONCURSOS PROCESSOS SELETIVOS - PRINC.;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;8.279.010,94
2023;1251;PMMG;1717.99.0.1.20.002;SEGURANCA PUBLICA - CENTRAIS DE ABASTECIMENTO DE MINAS GERAIS - CEASAMINAS;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;433.097,38
2023;1251;PMMG;1717.99.0.1.20.003;SEGURANCA PUBLICA - DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL - PRF;73;  ACORDOS, AJUSTES E DEMAIS INSTRUMENTOS DE COOPERACAO MUTUA COM A UNIAO E SUAS ENTIDADES;0,00;26.361.403,82
2023;1251;PMMG;1717.99.0.1.20.004;SEGURANCA PUBLICA - TRIBUNAL REGIONAL ELEITORAL DE MINAS GERAIS - TREMG;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;558.599,60
2023;1251;PMMG;1717.99.0.1.20.005;SEGURANCA PUBLICA - MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;0,00;577.492,64
2023;1251;PMMG;1717.99.0.1.20.006;SEGURANCA PUBLICA - BANCO CENTRAL DO BRASIL - BCB;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;100.701,77
2023;1251;PMMG;1724.99.0.1.23.001;SEGURANCA PUBLICA - COMPANHIA DE SANEAMENTO DE MINAS GERAIS - COPASA;69;CONVENIOS COM OS ESTADOS E O DISTRITO FEDERAL;0,00;1.914.896,63
2023;1251;PMMG;1732.99.0.1.23.001;SEGURANCA PUBLICA - DIVERSOS MUNICIPIOS;70;CONVENIOS COM OS MUNICIPIOS;0,00;9.225.872,44
2023;1251;PMMG;1741.99.0.1.23.999;SEGURANCA PUBLICA - OUTROS;68;CONVENIOS COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;0,00;54.120,08
2023;1251;PMMG;1741.99.0.1.50.999;SEGURANCA PUBLICA - OUTROS;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;0,00;14.993,63
2023;1251;PMMG;1791.99.0.1.23.000;OUTRAS TRANSF. PESSOAS FISICAS - PRINC. - SEGURANCA PUBLICA;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;0,00;1.520,91
2023;1251;PMMG;1911.09.0.1.99.000;MULTAS JUROS PREVISTOS CONTRATOS - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;63.617,27
2023;1251;PMMG;1922.99.0.1.99.000;OUTRAS RESTITUICOES - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;18.044,63
2023;1251;PMMG;1999.99.2.1.99.000;OUTRAS REC. - PRIMARIAS - PRINC. - DEMAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;0,00;129.623,40
2023;1251;PMMG;2414.99.0.1.20.001;SEGURANCA PUBLICA - CENTRAIS DE ABASTECIMENTO DE MINAS GERAIS - CEASAMINAS;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;52.981,17
2023;1251;PMMG;2414.99.0.1.20.002;SEGURANCA PUBLICA - DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL - PRF;73;  ACORDOS, AJUSTES E DEMAIS INSTRUMENTOS DE COOPERACAO MUTUA COM A UNIAO E SUAS ENTIDADES;0,00;13.535.756,90
2023;1251;PMMG;2414.99.0.1.20.004;SEGURANCA PUBLICA - MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;0,00;1.559.863,68
2023;1251;PMMG;2414.99.0.1.20.004;SEGURANCA PUBLICA - MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;2;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS DE BANCADA;0,00;25.653.141,58
2023;1251;PMMG;2414.99.0.1.20.004;SEGURANCA PUBLICA - MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;295.627,80
2023;1251;PMMG;2414.99.0.1.20.005;SEGURANCA PUBLICA - BANCO CENTRAL DO BRASIL - BCB;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,00;441.739,56
2023;1251;PMMG;2422.99.0.1.20.002;SEGURANCA PUBLICA - COMPANHIA DE SANEAMENTO DE MINAS GERAIS - COPASA;69;CONVENIOS COM OS ESTADOS E O DISTRITO FEDERAL;0,00;1.396.582,68
2023;1251;PMMG;2432.99.0.1.22.001;SEGURANCA PUBLICA - DIVERSOS MUNICIPIOS;70;CONVENIOS COM OS MUNICIPIOS;0,00;6.131.726,51
2023;1251;PMMG;2441.99.0.1.23.007;SEGURANCA PUBLICA - CONCESSIONARIA DE RODOVIAS ESTADUAIS;68;CONVENIOS COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;0,00;96.000,00
2023;1251;PMMG;2441.99.0.1.23.999;SEGURANCA PUBLICA - OUTROS;68;CONVENIOS COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;0,00;163.421,57
2023;1251;PMMG;2441.99.0.1.50.999;SEGURANCA PUBLICA - OUTROS;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;0,00;84.850,50
2023;1251;PMMG;2441.99.0.1.50.999;SEGURANCA PUBLICA - OUTROS;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;0,00;35.502,20
2023;1261;SEE;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;3;TRANSFERENCIAS DO FNDE VINCULADAS A EDUCACAO - EMENDAS INDIVIDUAIS;0,00;10.128,09
2023;1261;SEE;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;0,00;31.252.151,51
